"size","dtype","kurtx","skewx","ikurt","iskew"
1843200,1,2.80000000000008,0.293682637210036,2,267
1843200,1,2.89999999999998,0.399876548049676,149,58
1843200,1,2.99999999999998,0.48012949922788,181,109
1843200,1,3.19999999999996,0.606466870301773,181,58
1843200,1,3.39999999999997,0.708681957162054,11,58
1843200,1,3.59999999999997,0.79681769802529,28,109
1843200,1,3.8,0.875416510651157,32,228
1843200,1,4.00000000000001,0.946995820935936,59,58
1843200,1,4.20000000000003,1.01312480394597,24,109
1843200,1,4.39999999999999,1.07486051467478,58,109
1843200,1,4.6,1.13295557377867,24,53
1843200,1,4.79999999999998,1.1879686123322,36,109
1843200,1,5,1.24032794840138,53,104
1843200,1,5.2,1.29037064724064,58,104
1843200,1,5.39999999999996,1.33836768922713,36,109
1843200,1,5.60000000000003,1.38454084889859,36,109
1843200,1,5.80000000000001,1.42907439781766,92,52
1843200,1,6.00000000000001,1.47212344975772,104,110
1843200,1,6.19999999999997,1.51382005642444,87,106
1843200,1,6.39999999999998,1.55427775379429,87,103
1843200,1,6.59999999999997,1.59359501524584,87,103
1843200,1,6.79999999999998,1.63185791687235,87,103
1843200,1,7.00000000000001,1.66914222433368,75,103
1843200,1,7.20000000000001,1.70551504783168,70,105
1843200,1,7.39999999999996,1.7410361697907,70,52
1843200,1,7.60000000000003,1.77575912113176,87,52
1843200,1,7.80000000000003,1.8097320620562,75,52
1843200,1,8.00000000000007,1.84299850911548,70,52
1843200,1,8.20000000000006,1.87559794017716,70,35
1843200,1,8.39999999999999,1.90756630148484,75,35
1843200,1,8.60000000000003,1.93893643553387,70,52
1843200,1,8.80000000000001,1.96973844439194,70,54
1843200,1,9,2,75,35
1843200,1,9.19999999999997,2.02974661062705,70,54
1843200,1,9.39999999999998,2.05900185083196,75,54
1843200,1,9.59999999999997,2.08778756086947,70,54
1843200,1,9.8,2.11612402036781,70,54
1843200,1,9.99999999999999,2.14403010022796,70,54
1843200,1,10.2,2.17152339599684,70,54
1843200,1,10.4,2.19862034540709,70,54
1843200,1,10.6,2.22533633232504,70,54
1843200,1,10.8,2.25168577898244,70,54
1843200,1,11,2.27768222806872,70,54
1843200,1,11.1999999999999,2.30333841601573,70,54
1843200,1,11.4,2.32866633860425,70,54
1843200,1,11.6,2.35367730985473,75,54
1843200,1,11.8,2.37838201502463,70,54
1843200,1,12,2.40279055841865,70,54
1843200,1,12.2,2.4269125066197,75,54
1843200,1,12.4,2.45075692766633,75,37
1843200,1,12.6,2.47433242663209,19,54
1843200,1,12.8,2.49764717800315,70,54
1843200,1,13,2.52070895519976,70,54
1843200,1,13.2,2.54352515754396,75,54
1843200,1,13.4,2.5661028349387,75,54
1843200,1,13.6,2.58844871049157,19,54
1843200,1,13.8,2.61056920128876,70,54
1843200,1,14,2.632470437501,70,37
1843200,1,14.2,2.65415827998245,75,54
1843200,1,14.4,2.6756383365054,103,54
1843200,1,14.6,2.69691597675802,70,54
1843200,1,14.8,2.71799634621836,75,54
1843200,1,15,2.73888437900616,75,54
1843200,1,15.2,2.75958480980281,75,54
1843200,1,15.3999999999999,2.78010218492096,70,54
1843200,1,15.6,2.80044087259686,75,37
1843200,1,15.8,2.82060507257085,103,54
1843200,1,16,2.84059882501572,70,54
1843200,1,16.2,2.86042601886603,70,54
1843200,1,16.4,2.88009039959704,70,54
1843200,1,16.6,2.89959557649698,70,37
1843200,1,16.8,2.91894502947258,75,54
1843200,1,17,2.93814211542352,75,37
1843200,1,17.2,2.95719007421951,75,37
1843200,1,17.4,2.97609203430904,103,37
1843200,1,17.6,2.99485101798764,70,37
1843200,1,17.8,3.01346994635059,19,54
1843200,1,18,3.03195164395263,103,37
1843200,1,18.2,3.05029884319575,19,37
1843200,1,18.4,3.06851418846428,19,37
1843200,1,18.6,3.08660024002455,103,37
1843200,1,18.8,3.1045594777057,75,37
1843200,1,19,3.12239430437605,103,54
1843200,1,19.2,3.14010704922916,103,37
1843200,1,19.4,3.15769997089169,103,37
1843200,1,19.6,3.1751752603652,103,37
1843200,1,19.8,3.1925350438122,70,54
1843200,1,20,3.20978138519678,75,101
1843200,1,20.2,3.22691628878859,2,37
1843200,1,20.4,3.24394170153907,19,37
1843200,1,20.6,3.26085951533761,19,37
1843200,1,20.7999999999999,3.27767156915499,70,101
1843200,1,21,3.29437965108094,70,37
1843200,1,21.2,3.31098550026216,70,102
1843200,1,21.3999999999999,3.32749080874656,75,102
1843200,1,21.6000000000001,3.34389722323944,52,101
1843200,1,21.8,3.36020634677632,103,37
1843200,1,22,3.37641974031768,70,101
1843200,1,22.1999999999999,3.39253892426949,19,37
1843200,1,22.4,3.40856537993421,103,37
1843200,1,22.6,3.42450055089573,103,101
1843200,1,22.8,3.44034584434206,103,102
1843200,1,23,3.45610263232912,103,102
1843200,1,23.1999999999999,3.47177225298877,2,101
1843200,1,23.4,3.48735601168416,19,37
1843200,1,23.6,3.50285518211498,19,37
1843200,1,23.7999999999999,3.51827100737553,103,102
1843200,1,24,3.53360470096768,103,102
1843200,1,24.2,3.5488574477714,103,37
1843200,1,24.4,3.56403040497475,103,102
1843200,1,24.6,3.57912470296558,103,101
1843200,1,24.8,3.59414144618661,103,101
1843200,1,25,3.60908171395603,103,102
1843200,1,25.1999999999999,3.62394656125491,70,101
1843200,1,25.4,3.63873701948347,70,102
1843200,1,25.6,3.65345409718729,70,102
1843200,1,25.8,3.66809878075523,70,101
1843200,1,26,3.68267203509023,2,37
4096,1,2.80000000000008,0.293682637210036,159,136
4096,1,2.89999999999998,0.399876548049676,183,170
4096,1,2.99999999999998,0.48012949922788,170,293
4096,1,3.19999999999996,0.606466870301773,62,160
4096,1,3.39999999999997,0.708681957162054,62,311
4096,1,3.59999999999997,0.79681769802529,11,120
4096,1,3.8,0.875416510651157,25,154
4096,1,4.00000000000001,0.946995820935936,11,138
4096,1,4.20000000000003,1.01312480394597,2,138
4096,1,4.39999999999999,1.07486051467478,7,154
4096,1,4.6,1.13295557377867,24,154
4096,1,4.79999999999998,1.1879686123322,7,105
4096,1,5,1.24032794840138,24,108
4096,1,5.2,1.29037064724064,75,108
4096,1,5.39999999999996,1.33836768922713,75,108
4096,1,5.60000000000003,1.38454084889859,75,108
4096,1,5.80000000000001,1.42907439781766,75,108
4096,1,6.00000000000001,1.47212344975772,75,108
4096,1,6.19999999999997,1.51382005642444,75,108
4096,1,6.39999999999998,1.55427775379429,75,108
4096,1,6.59999999999997,1.59359501524584,75,108
4096,1,6.79999999999998,1.63185791687235,75,108
4096,1,7.00000000000001,1.66914222433368,75,108
4096,1,7.20000000000001,1.70551504783168,75,108
4096,1,7.39999999999996,1.7410361697907,70,108
4096,1,7.60000000000003,1.77575912113176,70,108
4096,1,7.80000000000003,1.8097320620562,70,88
4096,1,8.00000000000007,1.84299850911548,70,88
4096,1,8.20000000000006,1.87559794017716,70,88
4096,1,8.39999999999999,1.90756630148484,70,88
4096,1,8.60000000000003,1.93893643553387,70,88
4096,1,8.80000000000001,1.96973844439194,70,88
4096,1,9,2,70,56
4096,1,9.19999999999997,2.02974661062705,70,56
