"samplesize","type","kurtx.x1","skewx.x1","rmall.SWA_mean.BM3","rmall.SWA_mean.SQM","rmall.SWA_mean.BM2","rmall.SWA_mean.WM","rmall.SWA_mean.BWM","rmall.SWA_mean.TM","rmall.SWAHLM_mean.SWAHLM2_16.BM3","rmall.SWAHLM_mean.SWAHLM2_16.SQM","rmall.SWAHLM_mean.SWAHLM2_16.BM2","rmall.SWAHLM_mean.SWAHLM2_16.WM","rmall.SWAHLM_mean.SWAHLM2_16.BWM","rmall.SWAHLM_mean.SWAHLM2_16.TM","rmall.SWAHLM_mean.SWAHLM2_16.median","rmall.SWAHLM_mean.SWAHLM3_16.MH","rmall.SWAHLM_mean.SWAHLM3_16.WM","rmall.SWAHLM_mean.SWAHLM3_16.BWM","rmall.SWAHLM_mean.SWAHLM3_16.TM","rmall.SWAHLM_mean.SWAHLM3_16.median","rmall.SWAHLM_mean.SWAHLM4_16.MH","rmall.SWAHLM_mean.SWAHLM4_16.WM","rmall.SWAHLM_mean.SWAHLM4_16.BWM","rmall.SWAHLM_mean.SWAHLM4_16.TM","rmall.SWAHLM_mean.SWAHLM4_16.median","qmall.CDF_SWA_mean.pc_meanBM3","qmall.CDF_SWA_mean.pc_meanSQM","qmall.CDF_SWA_mean.pc_meanBM2","qmall.CDF_SWA_mean.pc_meanWM","qmall.CDF_SWA_mean.pc_meanBWM","qmall.CDF_SWA_mean.pc_meanTM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BM3","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.SQM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BM2","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM2_16.median","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.MH","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM3_16.median","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.MH","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.WM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.BWM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.TM","qmall.CDF_SWAHLM_mean.pc_meanSWAHLM4_16.median","rvarall.SWAvar.BM3","rvarall.SWAvar.SQM","rvarall.SWAvar.BM2","rvarall.SWAvar.WM","rvarall.SWAvar.BWM","rvarall.SWAvar.TM","rvarall.SWAHLM_var.SWAHLM2_31256.MH","rvarall.SWAHLM_var.SWAHLM2_31256.WM","rvarall.SWAHLM_var.SWAHLM2_31256.BWM","rvarall.SWAHLM_var.SWAHLM2_31256.TM","rvarall.SWAHLM_var.SWAHLM2_31256.median","rvarall.SWAHLM_var.SWAHLM3_31256.WM","rvarall.SWAHLM_var.SWAHLM3_31256.TM","rvarall.SWAHLM_var.SWAHLM3_31256.median","rvarall.SWAHLM_var.SWAHLM4_31256.WM","rvarall.SWAHLM_var.SWAHLM4_31256.TM","rvarall.SWAHLM_var.SWAHLM4_31256.median","qvarall.CDF_SWA_var.pc_varBM3","qvarall.CDF_SWA_var.pc_varSQM","qvarall.CDF_SWA_var.pc_varBM2","qvarall.CDF_SWA_var.pc_varWM","qvarall.CDF_SWA_var.pc_varBWM","qvarall.CDF_SWA_var.pc_varTM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.MH","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.BWM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM2_31256.median","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM3_31256.median","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.WM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.TM","qvarall.CDF_SWAHLM_var.pc_varSWAHLM4_31256.median","rtmall.SWAtm.MH","rtmall.SWAtm.WM","rtmall.SWAtm.BWM","rtmall.SWAtm.TM","rtmall.SWAHLM_tm.SWAHLM2_741.WM","rtmall.SWAHLM_tm.SWAHLM2_741.TM","rtmall.SWAHLM_tm.SWAHLM2_741.median","rtmall.SWAHLM_tm.SWAHLM3_741.WM","rtmall.SWAHLM_tm.SWAHLM3_741.TM","rtmall.SWAHLM_tm.SWAHLM3_741.median","qtmall.CDF_SWA_tm.pc_tmMH","qtmall.CDF_SWA_tm.pc_tmWM","qtmall.CDF_SWA_tm.pc_tmBWM","qtmall.CDF_SWA_tm.pc_tmTM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.WM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.TM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM2_741.median","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.WM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.TM","qtmall.CDF_SWAHLM_tm.pc_tmSWAHLM3_741.median","rfmall.SWAfm.MH","rfmall.SWAfm.WM","rfmall.SWAfm.BWM","rfmall.SWAfm.TM","rfmall.SWAHLM_fm.SWAHLM2_312.WM","rfmall.SWAHLM_fm.SWAHLM2_312.TM","rfmall.SWAHLM_fm.SWAHLM2_312.median","qfmall.CDF_SWA_fm.pc_fmMH","qfmall.CDF_SWA_fm.pc_fmWM","qfmall.CDF_SWA_fm.pc_fmBWM","qfmall.CDF_SWA_fm.pc_fmTM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.WM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.TM","qfmall.CDF_SWAHLM_fm.pc_fmSWAHLM2_312.median"
3686400,1,2.80000000000008,0.293682637210036,9,18,14,7,20,22,6,1,8,10,17,19,23,5,4,13,16,21,3,2,11,12,15,39,38,43,41,44,46,27,26,33,32,37,40,45,25,29,34,35,42,24,28,30,31,36,22,19,27,20,28,29,18,23,31,32,34,26,30,33,21,24,25,8,9,6,5,3,1,2,4,15,14,17,12,10,16,7,11,13,17,18,19,16,15,14,20,11,13,12,10,7,8,6,5,2,9,1,3,4,8,9,10,12,11,13,14,4,2,3,1,5,6,7
3686400,1,2.89999999999998,0.399876548049676,1,18,12,3,19,22,8,13,10,11,16,21,23,2,4,14,15,20,6,5,7,9,17,38,35,42,40,44,46,28,29,31,33,39,41,45,25,26,34,37,43,24,27,30,32,36,16,8,24,14,26,28,6,19,30,31,34,23,29,32,17,20,22,10,3,9,4,7,2,1,5,21,25,33,15,18,27,11,13,12,18,17,19,16,20,15,11,14,13,12,5,1,8,2,9,3,4,10,7,6,8,9,10,11,12,13,14,4,2,3,1,5,6,7
3686400,1,2.99999999999998,0.48012949922788,1,18,14,2,19,22,10,6,11,12,17,20,23,4,3,13,15,21,9,5,7,8,16,39,34,43,40,44,46,27,26,31,32,37,42,45,25,29,35,38,41,24,28,30,33,36,9,2,11,6,16,21,3,12,27,29,33,17,24,26,10,14,18,19,4,15,7,8,1,5,13,30,32,34,22,28,31,20,23,25,20,19,18,17,16,14,11,12,13,15,9,10,2,8,7,4,5,6,3,1,8,9,11,10,12,13,14,4,2,3,1,5,7,6
3686400,1,3.19999999999996,0.606466870301773,1,18,15,4,19,22,13,9,12,10,17,20,23,6,5,11,14,21,2,3,7,8,16,39,34,44,42,43,45,27,26,30,32,37,40,46,24,29,36,38,41,25,28,31,33,35,11,8,13,10,21,25,5,14,29,32,34,19,28,31,12,17,24,15,9,4,6,3,1,2,7,26,27,33,16,22,30,20,18,23,20,19,17,15,18,12,11,14,13,16,9,4,1,2,8,5,3,7,6,10,8,9,10,11,12,13,14,4,3,2,1,5,6,7
3686400,1,3.39999999999997,0.708681957162054,1,18,16,6,19,22,13,7,12,10,17,20,23,2,4,11,14,21,3,5,8,9,15,40,36,41,39,44,45,33,29,26,28,38,43,46,31,24,30,37,42,27,25,34,32,35,18,13,20,17,24,26,9,23,30,31,34,25,29,32,22,28,27,8,4,5,3,2,1,7,6,16,19,33,12,15,21,14,11,10,20,19,18,17,16,15,11,12,14,13,8,6,2,9,7,4,1,5,10,3,1,2,3,5,4,6,7,11,11,11,11,11,11,11
3686400,1,3.59999999999997,0.79681769802529,1,18,17,6,19,22,14,4,12,10,15,20,23,9,7,11,13,21,2,3,5,8,16,38,29,44,42,43,46,27,26,32,35,37,41,45,25,30,34,39,36,24,28,31,33,40,21,19,22,20,23,24,18,26,31,32,34,29,30,33,25,27,28,4,6,3,5,2,1,10,9,7,8,16,13,15,11,17,14,12,20,19,17,16,18,14,11,13,15,12,6,2,4,5,9,8,1,10,7,3,1,2,3,4,5,6,7,11,11,11,11,11,11,11
3686400,1,3.8,0.875416510651157,2,17,18,8,19,22,14,9,13,11,16,20,23,5,4,10,12,21,1,3,6,7,15,37,30,43,36,44,45,27,26,31,33,40,42,46,24,28,35,38,41,25,29,34,32,39,26,18,24,20,23,22,19,27,31,32,34,25,30,33,21,28,29,4,11,6,3,2,1,5,7,14,10,9,8,17,15,13,16,12,20,19,15,13,18,12,11,17,14,16,6,4,3,2,8,9,1,10,5,7,1,2,4,5,3,6,7,11,11,11,11,11,11,11
3686400,1,4.00000000000001,0.946995820935936,2,17,18,8,19,22,14,9,13,11,16,20,23,4,5,10,12,21,1,3,6,7,15,39,27,41,38,43,45,30,31,34,33,40,42,46,25,32,35,37,44,26,24,28,29,36,29,24,25,23,22,18,20,27,33,34,31,21,30,32,19,26,28,10,13,4,5,2,1,12,14,15,6,3,9,8,7,16,11,17,20,19,17,15,18,12,11,16,14,13,9,10,2,3,6,4,1,8,5,7,1,2,4,3,5,6,7,11,11,11,11,11,11,11
3686400,1,4.20000000000003,1.01312480394597,3,17,18,9,19,22,14,6,13,11,15,20,23,4,5,10,12,21,1,2,7,8,16,40,24,42,38,44,45,29,30,31,32,36,41,46,26,28,35,37,43,25,27,34,33,39,27,18,24,20,23,22,19,26,31,32,34,25,29,33,21,28,30,12,9,7,2,3,1,13,6,8,4,5,15,17,11,10,14,16,20,19,15,14,18,12,11,13,17,16,2,6,1,4,5,7,3,10,9,8,1,2,4,5,3,6,7,11,11,11,11,11,11,11
3686400,1,4.39999999999999,1.07486051467478,4,17,18,10,19,22,15,8,14,11,16,20,23,3,5,9,12,21,1,2,6,7,13,41,30,42,35,43,46,31,33,34,36,38,40,45,24,27,32,37,44,25,26,28,29,39,33,29,27,22,20,17,21,28,32,31,25,19,30,34,24,26,23,14,16,3,7,4,1,12,10,6,5,2,13,11,8,18,15,9,20,19,16,13,18,12,11,15,14,17,5,8,1,2,4,10,7,6,3,9,1,2,5,4,3,6,7,11,11,11,11,11,11,11
3686400,1,4.6,1.13295557377867,3,16,18,10,19,22,14,8,13,11,15,20,23,4,5,9,12,21,1,2,6,7,17,41,28,44,39,43,45,26,27,34,37,36,40,46,24,30,38,31,42,25,29,32,35,33,33,34,24,29,21,17,28,25,30,27,18,22,26,32,19,23,31,6,20,5,7,3,1,16,13,8,4,2,15,10,14,9,11,12,20,19,14,13,18,12,11,17,16,15,3,5,4,2,7,10,1,6,8,9,1,2,5,4,3,6,7,11,11,11,11,11,11,11
3686400,1,4.79999999999998,1.1879686123322,5,16,18,10,19,22,14,8,13,11,15,20,23,3,4,9,12,21,1,2,6,7,17,37,28,42,35,44,45,27,26,31,33,39,41,46,25,30,36,38,43,24,29,32,34,40,30,34,26,25,23,21,20,24,33,32,31,18,28,29,19,22,27,14,17,9,5,3,1,15,10,8,4,2,12,7,6,13,11,16,20,19,15,13,18,12,11,14,17,16,5,6,2,4,9,3,1,7,10,8,1,2,5,6,3,4,7,11,11,11,11,11,11,11
